grid_id,row,col,center_lng,center_lat,grid_size_m
500m_r001_c012,1,12,114.04078570494406,22.49673733381243,500
500m_r002_c014,2,14,114.05051141773511,22.501228889687386,500
500m_r002_c015,2,15,114.05537427413063,22.501228889687386,500
500m_r002_c016,2,16,114.06023713052615,22.501228889687386,500
500m_r002_c019,2,19,114.07482569971272,22.501228889687386,500
500m_r003_c012,3,12,114.04078570494406,22.505720445562343,500
500m_r003_c013,3,13,114.04564856133958,22.505720445562343,500
500m_r003_c014,3,14,114.05051141773511,22.505720445562343,500
500m_r003_c015,3,15,114.05537427413063,22.505720445562343,500
500m_r003_c016,3,16,114.06023713052615,22.505720445562343,500
500m_r003_c017,3,17,114.06509998692168,22.505720445562343,500
500m_r004_c012,4,12,114.04078570494406,22.510212001437296,500
500m_r004_c013,4,13,114.04564856133958,22.510212001437296,500
500m_r004_c014,4,14,114.05051141773511,22.510212001437296,500
500m_r004_c015,4,15,114.05537427413063,22.510212001437296,500
500m_r004_c016,4,16,114.06023713052615,22.510212001437296,500
500m_r004_c017,4,17,114.06509998692168,22.510212001437296,500
500m_r004_c020,4,20,114.07968855610825,22.510212001437296,500
500m_r005_c007,5,7,114.01647142296643,22.514703557312252,500
500m_r005_c011,5,11,114.03592284854852,22.514703557312252,500
500m_r005_c012,5,12,114.04078570494406,22.514703557312252,500
500m_r005_c013,5,13,114.04564856133958,22.514703557312252,500
500m_r005_c014,5,14,114.05051141773511,22.514703557312252,500
500m_r005_c015,5,15,114.05537427413063,22.514703557312252,500
500m_r005_c016,5,16,114.06023713052615,22.514703557312252,500
500m_r005_c017,5,17,114.06509998692168,22.514703557312252,500
500m_r005_c018,5,18,114.0699628433172,22.514703557312252,500
500m_r005_c019,5,19,114.07482569971272,22.514703557312252,500
500m_r005_c026,5,26,114.1088656944814,22.514703557312252,500
500m_r006_c000,6,0,113.98243142819777,22.519195113187205,500
500m_r006_c001,6,1,113.98729428459329,22.519195113187205,500
500m_r006_c002,6,2,113.99215714098881,22.519195113187205,500
500m_r006_c003,6,3,113.99701999738434,22.519195113187205,500
500m_r006_c009,6,9,114.02619713575749,22.519195113187205,500
500m_r006_c010,6,10,114.031059992153,22.519195113187205,500
500m_r006_c011,6,11,114.03592284854852,22.519195113187205,500
500m_r006_c012,6,12,114.04078570494406,22.519195113187205,500
500m_r006_c013,6,13,114.04564856133958,22.519195113187205,500
500m_r006_c014,6,14,114.05051141773511,22.519195113187205,500
500m_r006_c015,6,15,114.05537427413063,22.519195113187205,500
500m_r006_c016,6,16,114.06023713052615,22.519195113187205,500
500m_r006_c017,6,17,114.06509998692168,22.519195113187205,500
500m_r006_c018,6,18,114.0699628433172,22.519195113187205,500
500m_r006_c019,6,19,114.07482569971272,22.519195113187205,500
500m_r006_c020,6,20,114.07968855610825,22.519195113187205,500
500m_r007_c000,7,0,113.98243142819777,22.52368666906216,500
500m_r007_c001,7,1,113.98729428459329,22.52368666906216,500
500m_r007_c002,7,2,113.99215714098881,22.52368666906216,500
500m_r007_c003,7,3,113.99701999738434,22.52368666906216,500
500m_r007_c004,7,4,114.00188285377986,22.52368666906216,500
500m_r007_c007,7,7,114.01647142296643,22.52368666906216,500
500m_r007_c008,7,8,114.02133427936195,22.52368666906216,500
500m_r007_c009,7,9,114.02619713575749,22.52368666906216,500
500m_r007_c010,7,10,114.031059992153,22.52368666906216,500
500m_r007_c011,7,11,114.03592284854852,22.52368666906216,500
500m_r007_c012,7,12,114.04078570494406,22.52368666906216,500
500m_r007_c013,7,13,114.04564856133958,22.52368666906216,500
500m_r007_c014,7,14,114.05051141773511,22.52368666906216,500
500m_r007_c015,7,15,114.05537427413063,22.52368666906216,500
500m_r007_c016,7,16,114.06023713052615,22.52368666906216,500
500m_r007_c017,7,17,114.06509998692168,22.52368666906216,500
500m_r007_c018,7,18,114.0699628433172,22.52368666906216,500
500m_r007_c019,7,19,114.07482569971272,22.52368666906216,500
500m_r007_c020,7,20,114.07968855610825,22.52368666906216,500
500m_r007_c021,7,21,114.08455141250377,22.52368666906216,500
500m_r007_c024,7,24,114.09913998169034,22.52368666906216,500
500m_r007_c025,7,25,114.10400283808586,22.52368666906216,500
500m_r007_c028,7,28,114.11859140727243,22.52368666906216,500
500m_r008_c001,8,1,113.98729428459329,22.52817822493712,500
500m_r008_c002,8,2,113.99215714098881,22.52817822493712,500
500m_r008_c003,8,3,113.99701999738434,22.52817822493712,500
500m_r008_c004,8,4,114.00188285377986,22.52817822493712,500
500m_r008_c005,8,5,114.00674571017538,22.52817822493712,500
500m_r008_c006,8,6,114.01160856657091,22.52817822493712,500
500m_r008_c007,8,7,114.01647142296643,22.52817822493712,500
500m_r008_c008,8,8,114.02133427936195,22.52817822493712,500
500m_r008_c009,8,9,114.02619713575749,22.52817822493712,500
500m_r008_c010,8,10,114.031059992153,22.52817822493712,500
500m_r008_c011,8,11,114.03592284854852,22.52817822493712,500
500m_r008_c012,8,12,114.04078570494406,22.52817822493712,500
500m_r008_c013,8,13,114.04564856133958,22.52817822493712,500
500m_r008_c014,8,14,114.05051141773511,22.52817822493712,500
500m_r008_c015,8,15,114.05537427413063,22.52817822493712,500
500m_r008_c016,8,16,114.06023713052615,22.52817822493712,500
500m_r008_c017,8,17,114.06509998692168,22.52817822493712,500
500m_r008_c018,8,18,114.0699628433172,22.52817822493712,500
500m_r008_c019,8,19,114.07482569971272,22.52817822493712,500
500m_r008_c020,8,20,114.07968855610825,22.52817822493712,500
500m_r008_c021,8,21,114.08455141250377,22.52817822493712,500
500m_r008_c022,8,22,114.08941426889929,22.52817822493712,500
500m_r008_c027,8,27,114.11372855087691,22.52817822493712,500
500m_r008_c028,8,28,114.11859140727243,22.52817822493712,500
500m_r009_c000,9,0,113.98243142819777,22.53266978081207,500
500m_r009_c001,9,1,113.98729428459329,22.53266978081207,500
500m_r009_c002,9,2,113.99215714098881,22.53266978081207,500
500m_r009_c003,9,3,113.99701999738434,22.53266978081207,500
500m_r009_c004,9,4,114.00188285377986,22.53266978081207,500
500m_r009_c005,9,5,114.00674571017538,22.53266978081207,500
500m_r009_c006,9,6,114.01160856657091,22.53266978081207,500
500m_r009_c007,9,7,114.01647142296643,22.53266978081207,500
500m_r009_c008,9,8,114.02133427936195,22.53266978081207,500
500m_r009_c009,9,9,114.02619713575749,22.53266978081207,500
500m_r009_c010,9,10,114.031059992153,22.53266978081207,500
500m_r009_c011,9,11,114.03592284854852,22.53266978081207,500
500m_r009_c012,9,12,114.04078570494406,22.53266978081207,500
500m_r009_c013,9,13,114.04564856133958,22.53266978081207,500
500m_r009_c014,9,14,114.05051141773511,22.53266978081207,500
500m_r009_c015,9,15,114.05537427413063,22.53266978081207,500
500m_r009_c016,9,16,114.06023713052615,22.53266978081207,500
500m_r009_c017,9,17,114.06509998692168,22.53266978081207,500
500m_r009_c018,9,18,114.0699628433172,22.53266978081207,500
500m_r009_c019,9,19,114.07482569971272,22.53266978081207,500
500m_r009_c020,9,20,114.07968855610825,22.53266978081207,500
500m_r009_c021,9,21,114.08455141250377,22.53266978081207,500
500m_r009_c022,9,22,114.08941426889929,22.53266978081207,500
500m_r009_c023,9,23,114.09427712529482,22.53266978081207,500
500m_r009_c024,9,24,114.09913998169034,22.53266978081207,500
500m_r009_c025,9,25,114.10400283808586,22.53266978081207,500
500m_r009_c026,9,26,114.1088656944814,22.53266978081207,500
500m_r009_c027,9,27,114.11372855087691,22.53266978081207,500
500m_r009_c028,9,28,114.11859140727243,22.53266978081207,500
500m_r009_c029,9,29,114.12345426366797,22.53266978081207,500
500m_r009_c030,9,30,114.12831712006349,22.53266978081207,500
500m_r010_c000,10,0,113.98243142819777,22.537161336687028,500
500m_r010_c001,10,1,113.98729428459329,22.537161336687028,500
500m_r010_c002,10,2,113.99215714098881,22.537161336687028,500
500m_r010_c003,10,3,113.99701999738434,22.537161336687028,500
500m_r010_c004,10,4,114.00188285377986,22.537161336687028,500
500m_r010_c005,10,5,114.00674571017538,22.537161336687028,500
500m_r010_c006,10,6,114.01160856657091,22.537161336687028,500
500m_r010_c007,10,7,114.01647142296643,22.537161336687028,500
500m_r010_c008,10,8,114.02133427936195,22.537161336687028,500
500m_r010_c009,10,9,114.02619713575749,22.537161336687028,500
500m_r010_c010,10,10,114.031059992153,22.537161336687028,500
500m_r010_c011,10,11,114.03592284854852,22.537161336687028,500
500m_r010_c012,10,12,114.04078570494406,22.537161336687028,500
500m_r010_c013,10,13,114.04564856133958,22.537161336687028,500
500m_r010_c014,10,14,114.05051141773511,22.537161336687028,500
500m_r010_c015,10,15,114.05537427413063,22.537161336687028,500
500m_r010_c016,10,16,114.06023713052615,22.537161336687028,500
500m_r010_c017,10,17,114.06509998692168,22.537161336687028,500
500m_r010_c018,10,18,114.0699628433172,22.537161336687028,500
500m_r010_c019,10,19,114.07482569971272,22.537161336687028,500
500m_r010_c020,10,20,114.07968855610825,22.537161336687028,500
500m_r010_c021,10,21,114.08455141250377,22.537161336687028,500
500m_r010_c022,10,22,114.08941426889929,22.537161336687028,500
500m_r010_c023,10,23,114.09427712529482,22.537161336687028,500
500m_r010_c024,10,24,114.09913998169034,22.537161336687028,500
500m_r010_c025,10,25,114.10400283808586,22.537161336687028,500
500m_r010_c026,10,26,114.1088656944814,22.537161336687028,500
500m_r010_c027,10,27,114.11372855087691,22.537161336687028,500
500m_r010_c028,10,28,114.11859140727243,22.537161336687028,500
500m_r010_c029,10,29,114.12345426366797,22.537161336687028,500
500m_r010_c030,10,30,114.12831712006349,22.537161336687028,500
500m_r011_c000,11,0,113.98243142819777,22.54165289256198,500
500m_r011_c001,11,1,113.98729428459329,22.54165289256198,500
500m_r011_c002,11,2,113.99215714098881,22.54165289256198,500
500m_r011_c003,11,3,113.99701999738434,22.54165289256198,500
500m_r011_c004,11,4,114.00188285377986,22.54165289256198,500
500m_r011_c005,11,5,114.00674571017538,22.54165289256198,500
500m_r011_c006,11,6,114.01160856657091,22.54165289256198,500
500m_r011_c007,11,7,114.01647142296643,22.54165289256198,500
500m_r011_c008,11,8,114.02133427936195,22.54165289256198,500
500m_r011_c009,11,9,114.02619713575749,22.54165289256198,500
500m_r011_c010,11,10,114.031059992153,22.54165289256198,500
500m_r011_c011,11,11,114.03592284854852,22.54165289256198,500
500m_r011_c012,11,12,114.04078570494406,22.54165289256198,500
500m_r011_c013,11,13,114.04564856133958,22.54165289256198,500
500m_r011_c014,11,14,114.05051141773511,22.54165289256198,500
500m_r011_c015,11,15,114.05537427413063,22.54165289256198,500
500m_r011_c016,11,16,114.06023713052615,22.54165289256198,500
500m_r011_c017,11,17,114.06509998692168,22.54165289256198,500
500m_r011_c018,11,18,114.0699628433172,22.54165289256198,500
500m_r011_c019,11,19,114.07482569971272,22.54165289256198,500
500m_r011_c020,11,20,114.07968855610825,22.54165289256198,500
500m_r011_c021,11,21,114.08455141250377,22.54165289256198,500
500m_r011_c022,11,22,114.08941426889929,22.54165289256198,500
500m_r011_c023,11,23,114.09427712529482,22.54165289256198,500
500m_r011_c024,11,24,114.09913998169034,22.54165289256198,500
500m_r011_c025,11,25,114.10400283808586,22.54165289256198,500
500m_r011_c026,11,26,114.1088656944814,22.54165289256198,500
500m_r011_c027,11,27,114.11372855087691,22.54165289256198,500
500m_r011_c028,11,28,114.11859140727243,22.54165289256198,500
500m_r011_c029,11,29,114.12345426366797,22.54165289256198,500
500m_r011_c030,11,30,114.12831712006349,22.54165289256198,500
500m_r012_c000,12,0,113.98243142819777,22.546144448436937,500
500m_r012_c001,12,1,113.98729428459329,22.546144448436937,500
500m_r012_c002,12,2,113.99215714098881,22.546144448436937,500
500m_r012_c003,12,3,113.99701999738434,22.546144448436937,500
500m_r012_c004,12,4,114.00188285377986,22.546144448436937,500
500m_r012_c005,12,5,114.00674571017538,22.546144448436937,500
500m_r012_c006,12,6,114.01160856657091,22.546144448436937,500
500m_r012_c007,12,7,114.01647142296643,22.546144448436937,500
500m_r012_c008,12,8,114.02133427936195,22.546144448436937,500
500m_r012_c009,12,9,114.02619713575749,22.546144448436937,500
500m_r012_c010,12,10,114.031059992153,22.546144448436937,500
500m_r012_c011,12,11,114.03592284854852,22.546144448436937,500
500m_r012_c012,12,12,114.04078570494406,22.546144448436937,500
500m_r012_c013,12,13,114.04564856133958,22.546144448436937,500
500m_r012_c014,12,14,114.05051141773511,22.546144448436937,500
500m_r012_c015,12,15,114.05537427413063,22.546144448436937,500
500m_r012_c016,12,16,114.06023713052615,22.546144448436937,500
500m_r012_c017,12,17,114.06509998692168,22.546144448436937,500
500m_r012_c018,12,18,114.0699628433172,22.546144448436937,500
500m_r012_c019,12,19,114.07482569971272,22.546144448436937,500
500m_r012_c020,12,20,114.07968855610825,22.546144448436937,500
500m_r012_c021,12,21,114.08455141250377,22.546144448436937,500
500m_r012_c022,12,22,114.08941426889929,22.546144448436937,500
500m_r012_c023,12,23,114.09427712529482,22.546144448436937,500
500m_r012_c024,12,24,114.09913998169034,22.546144448436937,500
500m_r012_c025,12,25,114.10400283808586,22.546144448436937,500
500m_r012_c026,12,26,114.1088656944814,22.546144448436937,500
500m_r012_c027,12,27,114.11372855087691,22.546144448436937,500
500m_r012_c028,12,28,114.11859140727243,22.546144448436937,500
500m_r012_c029,12,29,114.12345426366797,22.546144448436937,500
500m_r012_c030,12,30,114.12831712006349,22.546144448436937,500
500m_r013_c000,13,0,113.98243142819777,22.55063600431189,500
500m_r013_c001,13,1,113.98729428459329,22.55063600431189,500
500m_r013_c002,13,2,113.99215714098881,22.55063600431189,500
500m_r013_c003,13,3,113.99701999738434,22.55063600431189,500
500m_r013_c004,13,4,114.00188285377986,22.55063600431189,500
500m_r013_c005,13,5,114.00674571017538,22.55063600431189,500
500m_r013_c006,13,6,114.01160856657091,22.55063600431189,500
500m_r013_c007,13,7,114.01647142296643,22.55063600431189,500
500m_r013_c008,13,8,114.02133427936195,22.55063600431189,500
500m_r013_c009,13,9,114.02619713575749,22.55063600431189,500
500m_r013_c010,13,10,114.031059992153,22.55063600431189,500
500m_r013_c011,13,11,114.03592284854852,22.55063600431189,500
500m_r013_c012,13,12,114.04078570494406,22.55063600431189,500
500m_r013_c013,13,13,114.04564856133958,22.55063600431189,500
500m_r013_c014,13,14,114.05051141773511,22.55063600431189,500
500m_r013_c015,13,15,114.05537427413063,22.55063600431189,500
500m_r013_c016,13,16,114.06023713052615,22.55063600431189,500
500m_r013_c017,13,17,114.06509998692168,22.55063600431189,500
500m_r013_c018,13,18,114.0699628433172,22.55063600431189,500
