grid_id,original_grid_id,visit_copy_index,visit_copy_count,shortage_bikes,surplus_bikes
1000m_r001_c006__v01,1000m_r001_c006,1,2,18,0
1000m_r001_c006__v02,1000m_r001_c006,2,2,17,0
1000m_r001_c007__v01,1000m_r001_c007,1,1,8,0
1000m_r001_c008__v01,1000m_r001_c008,1,2,19,0
1000m_r001_c008__v02,1000m_r001_c008,2,2,18,0
1000m_r002_c006__v01,1000m_r002_c006,1,1,3,0
1000m_r002_c008__v01,1000m_r002_c008,1,1,0,15
1000m_r002_c009__v01,1000m_r002_c009,1,1,0,7
1000m_r002_c010__v01,1000m_r002_c010,1,1,6,0
1000m_r003_c004__v01,1000m_r003_c004,1,1,0,14
1000m_r003_c005__v01,1000m_r003_c005,1,1,0,17
1000m_r003_c006__v01,1000m_r003_c006,1,4,0,18
1000m_r003_c006__v02,1000m_r003_c006,2,4,0,18
1000m_r003_c006__v03,1000m_r003_c006,3,4,0,18
1000m_r003_c006__v04,1000m_r003_c006,4,4,0,17
1000m_r003_c007__v01,1000m_r003_c007,1,2,0,13
1000m_r003_c007__v02,1000m_r003_c007,2,2,0,13
1000m_r003_c008__v01,1000m_r003_c008,1,1,0,11
1000m_r003_c009__v01,1000m_r003_c009,1,1,0,11
1000m_r004_c000__v01,1000m_r004_c000,1,1,3,0
1000m_r004_c001__v01,1000m_r004_c001,1,1,0,3
1000m_r004_c003__v01,1000m_r004_c003,1,1,0,4
1000m_r004_c004__v01,1000m_r004_c004,1,1,0,10
1000m_r004_c005__v01,1000m_r004_c005,1,2,11,0
1000m_r004_c005__v02,1000m_r004_c005,2,2,11,0
1000m_r004_c006__v01,1000m_r004_c006,1,1,15,0
1000m_r004_c007__v01,1000m_r004_c007,1,1,20,0
1000m_r004_c008__v01,1000m_r004_c008,1,1,0,3
1000m_r004_c009__v01,1000m_r004_c009,1,1,8,0
1000m_r004_c010__v01,1000m_r004_c010,1,3,0,17
1000m_r004_c010__v02,1000m_r004_c010,2,3,0,17
1000m_r004_c010__v03,1000m_r004_c010,3,3,0,17
1000m_r004_c013__v01,1000m_r004_c013,1,1,0,6
1000m_r004_c014__v01,1000m_r004_c014,1,1,14,0
1000m_r005_c000__v01,1000m_r005_c000,1,1,17,0
1000m_r005_c001__v01,1000m_r005_c001,1,1,9,0
1000m_r005_c002__v01,1000m_r005_c002,1,1,4,0
1000m_r005_c003__v01,1000m_r005_c003,1,1,0,7
1000m_r005_c005__v01,1000m_r005_c005,1,1,20,0
1000m_r005_c006__v01,1000m_r005_c006,1,1,0,4
1000m_r005_c007__v01,1000m_r005_c007,1,4,18,0
1000m_r005_c007__v02,1000m_r005_c007,2,4,17,0
1000m_r005_c007__v03,1000m_r005_c007,3,4,17,0
1000m_r005_c007__v04,1000m_r005_c007,4,4,17,0
1000m_r005_c008__v01,1000m_r005_c008,1,1,0,10
1000m_r005_c009__v01,1000m_r005_c009,1,2,0,11
1000m_r005_c009__v02,1000m_r005_c009,2,2,0,11
1000m_r005_c010__v01,1000m_r005_c010,1,3,14,0
1000m_r005_c010__v02,1000m_r005_c010,2,3,14,0
1000m_r005_c010__v03,1000m_r005_c010,3,3,13,0
1000m_r005_c011__v01,1000m_r005_c011,1,3,15,0
1000m_r005_c011__v02,1000m_r005_c011,2,3,15,0
1000m_r005_c011__v03,1000m_r005_c011,3,3,14,0
1000m_r005_c012__v01,1000m_r005_c012,1,2,0,12
1000m_r005_c012__v02,1000m_r005_c012,2,2,0,12
1000m_r005_c013__v01,1000m_r005_c013,1,3,16,0
1000m_r005_c013__v02,1000m_r005_c013,2,3,16,0
1000m_r005_c013__v03,1000m_r005_c013,3,3,15,0
1000m_r005_c014__v01,1000m_r005_c014,1,2,0,13
1000m_r005_c014__v02,1000m_r005_c014,2,2,0,12
1000m_r005_c015__v01,1000m_r005_c015,1,1,4,0
1000m_r006_c001__v01,1000m_r006_c001,1,1,5,0
1000m_r006_c002__v01,1000m_r006_c002,1,1,6,0
1000m_r006_c003__v01,1000m_r006_c003,1,1,0,5
1000m_r006_c006__v01,1000m_r006_c006,1,1,0,15
1000m_r006_c007__v01,1000m_r006_c007,1,1,15,0
1000m_r006_c008__v01,1000m_r006_c008,1,1,10,0
1000m_r006_c009__v01,1000m_r006_c009,1,3,0,16
1000m_r006_c009__v02,1000m_r006_c009,2,3,0,16
1000m_r006_c009__v03,1000m_r006_c009,3,3,0,16
1000m_r006_c010__v01,1000m_r006_c010,1,1,5,0
1000m_r006_c011__v01,1000m_r006_c011,1,3,16,0
1000m_r006_c011__v02,1000m_r006_c011,2,3,16,0
1000m_r006_c011__v03,1000m_r006_c011,3,3,16,0
1000m_r006_c012__v01,1000m_r006_c012,1,1,0,5
1000m_r006_c013__v01,1000m_r006_c013,1,2,0,12
1000m_r006_c013__v02,1000m_r006_c013,2,2,0,12
1000m_r006_c014__v01,1000m_r006_c014,1,1,20,0
1000m_r007_c000__v01,1000m_r007_c000,1,1,6,0
1000m_r007_c004__v01,1000m_r007_c004,1,1,4,0
1000m_r007_c005__v01,1000m_r007_c005,1,1,4,0
1000m_r007_c006__v01,1000m_r007_c006,1,1,7,0
1000m_r007_c007__v01,1000m_r007_c007,1,1,6,0
1000m_r007_c008__v01,1000m_r007_c008,1,1,0,10
1000m_r007_c009__v01,1000m_r007_c009,1,2,16,0
1000m_r007_c009__v02,1000m_r007_c009,2,2,15,0
1000m_r007_c010__v01,1000m_r007_c010,1,1,9,0
1000m_r007_c011__v01,1000m_r007_c011,1,1,6,0
1000m_r007_c012__v01,1000m_r007_c012,1,1,0,7
1000m_r007_c013__v01,1000m_r007_c013,1,2,12,0
1000m_r007_c013__v02,1000m_r007_c013,2,2,11,0
1000m_r007_c014__v01,1000m_r007_c014,1,1,0,20
1000m_r008_c000__v01,1000m_r008_c000,1,1,3,0
1000m_r008_c005__v01,1000m_r008_c005,1,1,0,6
1000m_r008_c006__v01,1000m_r008_c006,1,1,0,9
1000m_r008_c007__v01,1000m_r008_c007,1,2,0,13
1000m_r008_c007__v02,1000m_r008_c007,2,2,0,13
1000m_r008_c008__v01,1000m_r008_c008,1,1,17,0
1000m_r008_c009__v01,1000m_r008_c009,1,1,0,8
1000m_r008_c010__v01,1000m_r008_c010,1,1,9,0
1000m_r008_c013__v01,1000m_r008_c013,1,1,0,13
1000m_r008_c014__v01,1000m_r008_c014,1,1,6,0
1000m_r009_c006__v01,1000m_r009_c006,1,1,0,4
1000m_r009_c008__v01,1000m_r009_c008,1,1,9,0
1000m_r009_c009__v01,1000m_r009_c009,1,1,0,6
1000m_r009_c013__v01,1000m_r009_c013,1,1,0,9
1000m_r009_c014__v01,1000m_r009_c014,1,1,18,0
