grid_id,original_grid_id,visit_copy_index,visit_copy_count,shortage_bikes,surplus_bikes
500m_r002_c014__v01,500m_r002_c014,1,1,0,20
500m_r002_c015__v01,500m_r002_c015,1,1,0,20
500m_r002_c016__v01,500m_r002_c016,1,1,0,14
500m_r003_c012__v01,500m_r003_c012,1,1,0,19
500m_r003_c013__v01,500m_r003_c013,1,6,0,19
500m_r003_c013__v02,500m_r003_c013,2,6,0,19
500m_r003_c013__v03,500m_r003_c013,3,6,0,18
500m_r003_c013__v04,500m_r003_c013,4,6,0,18
500m_r003_c013__v05,500m_r003_c013,5,6,0,18
500m_r003_c013__v06,500m_r003_c013,6,6,0,18
500m_r003_c014__v01,500m_r003_c014,1,1,0,10
500m_r003_c015__v01,500m_r003_c015,1,1,3,0
500m_r003_c016__v01,500m_r003_c016,1,2,0,17
500m_r003_c016__v02,500m_r003_c016,2,2,0,16
500m_r004_c013__v01,500m_r004_c013,1,4,0,19
500m_r004_c013__v02,500m_r004_c013,2,4,0,19
500m_r004_c013__v03,500m_r004_c013,3,4,0,19
500m_r004_c013__v04,500m_r004_c013,4,4,0,18
500m_r004_c014__v01,500m_r004_c014,1,1,10,0
500m_r004_c015__v01,500m_r004_c015,1,1,6,0
500m_r004_c016__v01,500m_r004_c016,1,1,3,0
500m_r005_c012__v01,500m_r005_c012,1,1,8,0
500m_r005_c013__v01,500m_r005_c013,1,1,16,0
500m_r005_c014__v01,500m_r005_c014,1,2,12,0
500m_r005_c014__v02,500m_r005_c014,2,2,11,0
500m_r005_c015__v01,500m_r005_c015,1,1,3,0
500m_r005_c017__v01,500m_r005_c017,1,1,9,0
500m_r005_c018__v01,500m_r005_c018,1,3,15,0
500m_r005_c018__v02,500m_r005_c018,2,3,15,0
500m_r005_c018__v03,500m_r005_c018,3,3,14,0
500m_r006_c010__v01,500m_r006_c010,1,1,17,0
500m_r006_c011__v01,500m_r006_c011,1,5,19,0
500m_r006_c011__v02,500m_r006_c011,2,5,19,0
500m_r006_c011__v03,500m_r006_c011,3,5,19,0
500m_r006_c011__v04,500m_r006_c011,4,5,19,0
500m_r006_c011__v05,500m_r006_c011,5,5,19,0
500m_r006_c012__v01,500m_r006_c012,1,3,19,0
500m_r006_c012__v02,500m_r006_c012,2,3,19,0
500m_r006_c012__v03,500m_r006_c012,3,3,19,0
500m_r006_c013__v01,500m_r006_c013,1,2,12,0
500m_r006_c013__v02,500m_r006_c013,2,2,11,0
500m_r006_c014__v01,500m_r006_c014,1,1,4,0
500m_r006_c015__v01,500m_r006_c015,1,1,0,6
500m_r006_c016__v01,500m_r006_c016,1,1,12,0
500m_r006_c017__v01,500m_r006_c017,1,1,3,0
500m_r007_c000__v01,500m_r007_c000,1,1,0,5
500m_r007_c008__v01,500m_r007_c008,1,1,7,0
500m_r007_c009__v01,500m_r007_c009,1,1,14,0
500m_r007_c010__v01,500m_r007_c010,1,1,5,0
500m_r007_c011__v01,500m_r007_c011,1,1,13,0
500m_r007_c012__v01,500m_r007_c012,1,1,16,0
500m_r007_c013__v01,500m_r007_c013,1,4,16,0
500m_r007_c013__v02,500m_r007_c013,2,4,15,0
