grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
200m_r006_c038__v01,0,0,0,11
200m_r006_c040__v01,0,0,0,9
200m_r007_c035__v01,0,0,0,4
200m_r007_c036__v01,0,0,0,19
200m_r007_c037__v01,0,0,0,4
200m_r007_c038__v01,0,0,0,4
200m_r007_c039__v01,0,0,0,13
200m_r007_c040__v01,0,0,0,7
200m_r008_c032__v01,0,0,0,19
200m_r008_c033__v01,0,0,0,17
200m_r008_c034__v01,0,0,0,13
200m_r008_c035__v01,0,0,0,4
200m_r008_c038__v01,8,0,8,0
200m_r008_c039__v01,0,0,0,8
200m_r008_c040__v01,0,0,0,13
200m_r009_c031__v01,0,0,0,5
200m_r009_c032__v01,0,0,0,13
200m_r009_c033__v01,0,0,0,19
200m_r009_c033__v02,0,0,0,18
200m_r009_c034__v01,0,0,0,11
200m_r009_c034__v02,0,0,0,11
200m_r009_c035__v01,0,0,0,10
200m_r009_c036__v01,10,0,10,0
200m_r009_c037__v01,8,0,8,0
200m_r009_c038__v01,6,6,0,0
200m_r009_c040__v01,0,0,0,6
200m_r009_c041__v01,0,0,0,11
200m_r010_c033__v01,0,0,0,17
200m_r010_c033__v02,0,0,0,16
200m_r010_c033__v03,0,0,0,16
200m_r010_c033__v04,0,0,0,16
200m_r010_c034__v01,0,0,0,17
200m_r010_c035__v01,5,5,0,0
200m_r010_c037__v01,4,4,0,0
200m_r010_c039__v01,4,4,0,0
200m_r011_c037__v01,3,3,0,0
200m_r011_c041__v01,4,4,0,0
200m_r012_c035__v01,3,3,0,0
200m_r013_c034__v01,6,6,0,0
200m_r013_c042__v01,4,4,0,0
200m_r014_c030__v01,4,4,0,0
200m_r014_c031__v01,4,4,0,0
200m_r014_c033__v01,4,4,0,0
200m_r014_c034__v01,4,4,0,0
200m_r014_c036__v01,17,0,17,0
200m_r014_c040__v01,0,0,0,8
200m_r014_c043__v01,3,3,0,0
200m_r014_c045__v01,20,1,19,0
200m_r014_c045__v02,20,1,19,0
200m_r015_c030__v01,8,0,8,0
200m_r015_c031__v01,4,4,0,0
200m_r015_c032__v01,4,4,0,0
200m_r015_c034__v01,4,4,0,0
200m_r015_c041__v01,7,0,7,0
200m_r015_c044__v01,5,5,0,0
200m_r016_c025__v01,6,6,0,0
200m_r016_c027__v01,19,0,19,0
200m_r016_c027__v02,18,0,18,0
200m_r016_c027__v03,18,0,18,0
200m_r016_c028__v01,13,0,13,0
200m_r016_c029__v01,17,0,17,0
200m_r016_c030__v01,9,0,9,0
200m_r016_c031__v01,9,0,9,0
200m_r016_c033__v01,5,5,0,0
200m_r016_c034__v01,3,3,0,0
200m_r016_c037__v01,0,0,0,3
200m_r016_c039__v01,0,0,0,3
200m_r016_c042__v01,3,3,0,0
200m_r016_c043__v01,0,0,0,3
200m_r017_c024__v01,6,6,0,0
200m_r017_c025__v01,7,0,7,0
200m_r017_c026__v01,4,4,0,0
200m_r017_c028__v01,11,0,11,0
200m_r017_c028__v02,10,0,10,0
200m_r017_c029__v01,0,0,0,8
200m_r017_c031__v01,17,0,17,0
200m_r017_c032__v01,16,0,16,0
200m_r017_c034__v01,15,1,14,0
200m_r017_c035__v01,8,0,8,0
200m_r017_c041__v01,3,3,0,0
200m_r017_c048__v01,3,3,0,0
200m_r017_c049__v01,0,0,0,3
200m_r018_c007__v01,4,4,0,0
200m_r018_c024__v01,5,5,0,0
200m_r018_c029__v01,0,0,0,17
200m_r018_c032__v01,4,4,0,0
200m_r018_c034__v01,8,0,8,0
200m_r018_c035__v01,5,5,0,0
200m_r018_c036__v01,6,6,0,0
200m_r018_c037__v01,0,0,0,10
200m_r018_c038__v01,0,0,0,3
200m_r018_c039__v01,3,3,0,0
200m_r018_c040__v01,6,6,0,0
200m_r018_c043__v01,0,0,0,6
200m_r018_c045__v01,3,3,0,0
200m_r018_c049__v01,0,0,0,4
200m_r019_c001__v01,0,0,0,5
200m_r019_c022__v01,5,5,0,0
200m_r019_c027__v01,19,0,19,0
200m_r019_c028__v01,10,0,10,0
200m_r019_c029__v01,0,0,0,4
200m_r019_c030__v01,13,0,13,0
200m_r019_c031__v01,0,0,0,4
200m_r019_c033__v01,4,4,0,0
