grid_id,shortage_bikes,unmet_bikes,served_bikes,surplus_bikes
200m_r006_c038__v01,3,3,0,0
200m_r006_c040__v01,5,5,0,0
200m_r007_c035__v01,5,5,0,0
200m_r007_c036__v01,3,3,0,0
200m_r007_c037__v01,4,4,0,0
200m_r007_c040__v01,9,1,8,0
200m_r008_c033__v01,4,4,0,0
200m_r008_c034__v01,6,0,6,0
200m_r008_c040__v01,8,0,8,0
200m_r008_c041__v01,6,6,0,0
200m_r009_c031__v01,3,3,0,0
200m_r009_c032__v01,7,0,7,0
200m_r009_c033__v01,10,1,9,0
200m_r009_c034__v01,9,0,9,0
200m_r009_c039__v01,0,0,0,5
200m_r009_c040__v01,0,0,0,3
200m_r009_c041__v01,10,2,8,0
200m_r010_c033__v01,7,0,7,0
200m_r010_c035__v01,0,0,0,8
200m_r010_c036__v01,5,5,0,0
200m_r010_c050__v01,6,0,6,0
200m_r011_c033__v01,0,0,0,6
200m_r011_c040__v01,0,0,0,6
200m_r012_c032__v01,3,3,0,0
200m_r012_c035__v01,0,0,0,3
200m_r013_c032__v01,4,4,0,0
200m_r013_c033__v01,3,3,0,0
200m_r013_c040__v01,0,0,0,3
200m_r013_c042__v01,0,0,0,4
200m_r014_c030__v01,0,0,0,8
200m_r014_c031__v01,0,0,0,3
200m_r014_c034__v01,3,3,0,0
200m_r014_c036__v01,0,0,0,6
200m_r014_c039__v01,3,3,0,0
200m_r014_c042__v01,3,3,0,0
200m_r014_c045__v01,0,0,0,7
200m_r014_c046__v01,0,0,0,3
200m_r014_c048__v01,3,3,0,0
200m_r015_c027__v01,0,0,0,3
200m_r015_c030__v01,0,0,0,8
200m_r015_c041__v01,4,4,0,0
200m_r015_c043__v01,0,0,0,9
200m_r015_c046__v01,0,0,0,3
200m_r016_c006__v01,0,0,0,3
200m_r016_c027__v01,0,0,0,3
200m_r016_c028__v01,0,0,0,6
200m_r016_c029__v01,0,0,0,6
200m_r016_c030__v01,0,0,0,9
200m_r016_c032__v01,4,4,0,0
200m_r016_c033__v01,0,0,0,3
200m_r016_c035__v01,0,0,0,4
200m_r016_c043__v01,3,3,0,0
200m_r016_c044__v01,0,0,0,3
200m_r017_c006__v01,0,0,0,11
200m_r017_c007__v01,10,3,7,0
200m_r017_c024__v01,0,0,0,7
200m_r017_c028__v01,0,0,0,4
