vehicle_id,grid_id,pickup_bikes,dropoff_bikes
truck_01,200m_r022_c043__v01,1,0
truck_01,200m_r024_c045__v01,0,1
truck_01,200m_r029_c065__v01,14,0
truck_01,200m_r032_c068__v01,0,14
truck_01,200m_r036_c066__v01,8,0
truck_01,200m_r033_c064__v01,0,8
truck_01,200m_r029_c064__v01,9,0
truck_01,200m_r037_c037__v01,0,9
truck_01,200m_r041_c037__v01,7,0
truck_01,200m_r042_c033__v01,0,7
truck_01,200m_r045_c032__v01,15,0
truck_01,200m_r044_c040__v01,0,15
truck_02,200m_r024_c039__v01,8,0
truck_02,200m_r020_c043__v01,0,8
truck_02,200m_r007_c036__v01,19,0
truck_02,200m_r014_c045__v02,0,19
truck_02,200m_r029_c066__v02,11,0
truck_02,200m_r033_c076__v01,0,11
truck_02,200m_r028_c065__v01,10,0
truck_02,200m_r027_c061__v01,0,10
truck_02,200m_r030_c058__v01,15,0
truck_02,200m_r032_c044__v01,0,15
truck_03,200m_r023_c043__v01,7,0
truck_03,200m_r021_c043__v01,0,7
truck_03,200m_r009_c033__v01,19,0
truck_03,200m_r016_c027__v01,0,19
truck_03,200m_r009_c034__v01,8,0
truck_03,200m_r009_c037__v01,0,8
truck_03,200m_r009_c032__v01,13,0
truck_03,200m_r023_c008__v02,0,13
truck_03,200m_r024_c017__v01,9,0
truck_03,200m_r024_c016__v01,0,9
truck_04,200m_r025_c021__v01,18,0
truck_04,200m_r016_c027__v02,0,18
truck_04,200m_r019_c038__v01,8,0
truck_04,200m_r020_c038__v01,0,8
truck_04,200m_r029_c066__v01,13,0
truck_04,200m_r032_c068__v02,0,13
truck_04,200m_r038_c065__v02,8,0
truck_04,200m_r039_c070__v01,0,8
truck_04,200m_r038_c065__v01,10,0
truck_04,200m_r036_c063__v01,0,10
truck_05,200m_r039_c066__v01,19,0
truck_05,200m_r020_c024__v01,0,19
truck_05,200m_r023_c039__v02,11,0
truck_05,200m_r035_c068__v01,0,11
truck_05,200m_r029_c067__v01,8,0
truck_05,200m_r024_c068__v01,0,8
truck_05,200m_r028_c059__v01,9,0
truck_05,200m_r030_c046__v01,0,9
truck_06,200m_r029_c043__v01,14,0
truck_06,200m_r017_c034__v01,0,14
truck_06,200m_r025_c037__v01,9,0
truck_06,200m_r016_c031__v01,0,9
truck_06,200m_r009_c033__v02,18,0
truck_06,200m_r016_c027__v03,0,18
truck_06,200m_r018_c029__v01,17,0
truck_06,200m_r017_c031__v01,0,17
truck_07,200m_r025_c042__v01,11,0
truck_07,200m_r026_c047__v01,0,11
truck_07,200m_r036_c047__v02,11,0
truck_07,200m_r041_c068__v02,0,11
truck_07,200m_r044_c076__v01,8,0
truck_07,200m_r042_c073__v01,0,8
truck_07,200m_r038_c066__v01,7,0
truck_07,200m_r041_c066__v01,0,7
truck_07,200m_r039_c065__v02,8,0
truck_07,200m_r041_c069__v01,0,8
truck_07,200m_r040_c065__v01,8,0
truck_07,200m_r043_c065__v01,0,8
truck_08,200m_r028_c008__v01,9,0
truck_08,200m_r038_c001__v01,0,9
truck_08,200m_r025_c020__v01,11,0
truck_08,200m_r041_c068__v01,0,11
truck_08,200m_r037_c065__v01,7,0
truck_08,200m_r033_c067__v01,0,7
truck_08,200m_r036_c067__v01,7,0
truck_08,200m_r035_c067__v01,0,7
truck_09,200m_r025_c039__v01,8,0
truck_09,200m_r025_c044__v01,0,8
truck_09,200m_r022_c043__v01,5,0
truck_09,200m_r021_c041__v01,0,5
truck_09,200m_r021_c046__v01,8,0
truck_09,200m_r017_c035__v01,0,8
truck_09,200m_r018_c037__v01,9,0
truck_09,200m_r021_c033__v01,0,9
truck_09,200m_r020_c032__v01,11,0
truck_09,200m_r020_c033__v01,0,11
truck_09,200m_r029_c037__v01,8,0
truck_09,200m_r030_c034__v01,0,8
truck_09,200m_r030_c038__v01,13,0
truck_09,200m_r033_c045__v01,0,13
truck_10,200m_r024_c040__v01,19,0
truck_10,200m_r014_c045__v01,0,19
truck_10,200m_r009_c041__v01,7,0
truck_10,200m_r015_c041__v01,0,7
truck_10,200m_r022_c045__v01,13,0
truck_10,200m_r032_c033__v01,0,13
truck_10,200m_r027_c036__v01,8,0
truck_10,200m_r015_c030__v01,0,8
truck_10,200m_r017_c029__v01,8,0
truck_10,200m_r021_c031__v01,0,8
truck_10,200m_r023_c039__v01,11,0
truck_10,200m_r024_c041__v01,0,11
truck_11,200m_r036_c046__v01,14,0
truck_11,200m_r023_c008__v01,0,14
truck_11,200m_r033_c000__v01,18,0
truck_11,200m_r023_c014__v01,0,18
truck_11,200m_r025_c020__v02,7,0
truck_11,200m_r017_c025__v01,0,7
truck_11,200m_r024_c026__v01,12,0
truck_11,200m_r041_c039__v01,0,12
truck_12,200m_r026_c036__v01,10,0
truck_12,200m_r031_c035__v01,0,10
truck_12,200m_r029_c044__v01,9,0
truck_12,200m_r025_c047__v01,0,9
truck_12,200m_r023_c044__v01,5,0
truck_12,200m_r022_c046__v01,0,5
truck_12,200m_r010_c034__v01,17,0
truck_12,200m_r014_c036__v01,0,17
truck_12,200m_r008_c034__v01,13,0
truck_12,200m_r016_c028__v01,0,13
truck_12,200m_r024_c036__v01,6,0
truck_12,200m_r020_c036__v01,0,6
truck_13,200m_r024_c043__v01,6,0
truck_13,200m_r025_c045__v01,0,6
truck_13,200m_r023_c038__v01,12,0
truck_13,200m_r042_c068__v01,0,12
truck_13,200m_r039_c065__v01,9,0
truck_13,200m_r034_c046__v01,0,9
truck_13,200m_r031_c038__v01,9,0
truck_13,200m_r032_c046__v01,0,9
truck_14,200m_r025_c040__v01,4,0
truck_14,200m_r023_c042__v01,0,4
truck_14,200m_r014_c040__v01,8,0
truck_14,200m_r008_c038__v01,0,8
truck_14,200m_r009_c035__v01,10,0
truck_14,200m_r009_c036__v01,0,10
truck_14,200m_r008_c033__v01,17,0
truck_14,200m_r027_c019__v01,0,17
truck_14,200m_r022_c026__v01,11,0
truck_14,200m_r017_c028__v01,0,11
truck_15,200m_r026_c038__v01,7,0
truck_15,200m_r028_c038__v01,0,7
truck_15,200m_r027_c033__v01,7,0
truck_15,200m_r020_c044__v01,0,7
truck_15,200m_r018_c043__v01,6,0
truck_15,200m_r020_c042__v01,0,6
truck_15,200m_r010_c033__v04,16,0
truck_15,200m_r017_c032__v01,0,16
truck_15,200m_r025_c036__v01,12,0
truck_15,200m_r033_c045__v02,0,12
truck_16,200m_r026_c039__v01,8,0
truck_16,200m_r018_c034__v01,0,8
truck_16,200m_r010_c033__v02,16,0
truck_16,200m_r019_c034__v01,0,16
truck_16,200m_r024_c038__v01,10,0
truck_16,200m_r017_c028__v02,0,10
truck_16,200m_r008_c032__v01,19,0
truck_16,200m_r019_c027__v01,0,19
truck_16,200m_r020_c031__v01,17,0
truck_16,200m_r021_c032__v01,0,17
truck_17,200m_r026_c037__v01,16,0
truck_17,200m_r022_c034__v01,0,16
truck_17,200m_r010_c033__v01,17,0
truck_17,200m_r016_c029__v01,0,17
truck_17,200m_r022_c026__v02,10,0
truck_17,200m_r019_c028__v01,0,10
truck_17,200m_r022_c021__v01,13,0
truck_17,200m_r019_c030__v01,0,13
truck_17,200m_r028_c036__v01,10,0
truck_17,200m_r039_c040__v01,0,10
truck_18,200m_r025_c038__v01,9,0
truck_18,200m_r016_c030__v01,0,9
truck_18,200m_r010_c033__v03,16,0
truck_18,200m_r019_c034__v02,0,16
truck_18,200m_r008_c040__v01,13,0
truck_18,200m_r044_c065__v01,0,13
truck_18,200m_r036_c047__v01,11,0
truck_18,200m_r043_c047__v01,0,11
truck_19,200m_r028_c043__v01,8,0
truck_19,200m_r039_c029__v01,0,8
truck_19,200m_r028_c009__v01,16,0
truck_19,200m_r032_c045__v02,0,16
truck_19,200m_r036_c045__v01,17,0
truck_19,200m_r032_c045__v01,0,17
truck_20,200m_r037_c047__v01,13,0
truck_20,200m_r037_c031__v01,0,13
truck_20,200m_r045_c041__v01,9,0
truck_20,200m_r043_c044__v01,0,9
truck_20,200m_r030_c048__v01,8,0
truck_20,200m_r030_c049__v01,0,8
truck_20,200m_r029_c053__v01,6,0
truck_20,200m_r024_c047__v01,0,6
truck_20,200m_r027_c047__v01,4,0
truck_20,200m_r028_c045__v01,0,4
truck_20,200m_r024_c037__v01,14,0
truck_20,200m_r019_c039__v01,0,14
