vehicle_id,capacity_bikes,speed_kmh,start_grid_id,start_lng,start_lat,load_time_min_per_bike,unload_time_min_per_bike,fixed_stop_time_min,max_route_time_min,available,notes
truck_01,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_02,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_03,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_04,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_05,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_06,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_07,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_08,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_09,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_10,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_11,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_12,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_13,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_14,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_15,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_16,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_17,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_18,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_19,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
truck_20,32,18,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity large vehicle
