vehicle_id,capacity_bikes,speed_kmh,start_grid_id,start_lng,start_lat,load_time_min_per_bike,unload_time_min_per_bike,fixed_stop_time_min,max_route_time_min,available,notes
truck_01,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_02,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_03,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_04,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_05,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_06,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_07,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_08,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_09,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_10,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_11,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_12,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_13,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_14,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_15,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_16,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_17,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_18,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_19,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
truck_20,20,22,1000m_r005_c008,114.062668558724,22.5394071146245,0.6,0.45,4,180,1,Sensitivity small vehicle
