scenario_id,analysis_group,small_count,medium_count,large_count,total_count,small_share,medium_share,large_share,total_capacity_bikes,avg_capacity_bikes,min_capacity_bikes,max_capacity_bikes,status,objective,makespan_min,total_vehicle_time_min,total_unmet_bikes,total_served_bikes,service_shortfall_bikes,total_shortage_bikes,total_surplus_bikes,shortage_satisfaction_rate,relocatable_service_rate,used_vehicle_count,idle_vehicle_count,avg_used_route_time_min,max_route_time_min,split_original_node_count,split_node_count,runtime_seconds,total_run_seconds
baseline_20_6s12m2l,baseline,6,12,2,20,0.3,0.6,0.1,496,24.8,20,32,heuristic_feasible,3694.62714102924,124.502348732787,1814.05990370565,137,556,0,693,556,0.802308802308802,1,17,3,106.709406100332,124.502348732787,78,107,82.4763177,163.343626
composition_small_heavy_20_10s8m2l,composition,10,8,2,20,0.5,0.4,0.1,472,23.6,20,32,heuristic_feasible,3691.93161069524,124.737215773701,1777.42993651919,137,556,0,693,556,0.802308802308802,1,16,4,111.089371032449,124.737215773701,78,107,39.4922954,116.1381821
composition_medium_heavy_20_4s14m2l,composition,4,14,2,20,0.2,0.7,0.1,508,25.4,20,32,heuristic_feasible,3699.09948296555,128.56402900128,1819.19317455342,137,556,0,693,556,0.802308802308802,1,17,3,107.011363209025,128.56402900128,78,107,51.063835,102.6619442
composition_large_heavy_20_4s8m8l,composition,4,8,8,20,0.2,0.4,0.4,544,27.2,20,32,heuristic_feasible,3704.91780585823,131.835537933841,1851.0283490549,137,556,0,693,556,0.802308802308802,1,16,4,115.689271815932,131.835537933841,78,107,62.6903546,116.1506206
composition_balanced_20_7s7m6l,composition,7,7,6,20,0.35,0.35,0.3,512,25.6,20,32,heuristic_feasible,3697.89877136397,122.932733273668,1874.57547612873,137,556,0,693,556,0.802308802308802,1,18,2,104.143082007152,122.932733273668,78,107,35.6377411,123.9481497
composition_no_large_20_8s12m0l,composition,8,12,0,20,0.4,0.6,0,472,23.6,20,28,heuristic_feasible,3701.22206297279,133.485309611207,1784.20941701976,137,556,0,693,556,0.802308802308802,1,16,4,111.513088563735,133.485309611207,78,107,35.3629263,87.0578851
composition_no_small_20_0s14m6l,composition,0,14,6,20,0,0.7,0.3,556,27.8,24,32,heuristic_feasible,3684.78268407099,119.176002367402,1757.58352129486,137,556,0,693,556,0.802308802308802,1,17,3,103.387265958521,119.176002367402,78,95,28.4699805,63.8132471
composition_all_small_20_20s0m0l,composition,20,0,0,20,1,0,0,400,20,20,20,heuristic_feasible,3698.44522732945,136.296227043518,1714.3625035742,137,556,0,693,556,0.802308802308802,1,14,6,122.454464541015,136.296227043518,78,107,37.1751258,89.0901033
composition_all_medium_20_0s20m0l,composition,0,20,0,20,0,1,0,520,26,24,28,heuristic_feasible,3672.82421479301,107.85552097503,1749.60867272469,137,556,0,693,556,0.802308802308802,1,18,2,97.2004818180386,107.85552097503,78,95,31.2483933,67.0227027
composition_all_large_20_0s0m20l,composition,0,0,20,20,0,0,1,640,32,32,32,heuristic_feasible,3709.55416366932,131.958668072446,1907.44369496094,137,556,0,693,556,0.802308802308802,1,17,3,112.20257029182,131.958668072446,78,90,25.1873708,60.5846614
total_8_2s5m1l,total_count,2,5,1,8,0.25,0.625,0.125,200,25,20,32,heuristic_service_level_not_met,72937.2074743987,163.045541565706,1239.52416041364,247,446,26.6,693,556,0.643578643578644,0.802158273381295,8,0,154.940520051705,163.045541565706,78,107,9.2194504,10.6250584
total_12_4s7m1l,total_count,4,7,1,12,0.333333333333333,0.583333333333333,0.0833333333333333,292,24.3333333333333,20,32,heuristic_feasible,3729.35747461145,161.332956169371,1787.80648052598,137,556,0,693,556,0.802308802308802,1,12,0,148.983873377165,161.332956169371,78,107,16.7853137,27.0536447
total_16_5s10m1l,total_count,5,10,1,16,0.3125,0.625,0.0625,392,24.5,20,32,heuristic_feasible,3709.91696163477,140.334047648211,1807.28642483194,137,556,0,693,556,0.802308802308802,1,14,2,129.091887487996,140.334047648211,78,107,26.3747714,62.3468388
total_24_7s14m3l,total_count,7,14,3,24,0.291666666666667,0.583333333333333,0.125,600,25,20,32,heuristic_feasible,3693.76922871732,119.25152574941,1868.97128709883,137,556,0,693,556,0.802308802308802,1,19,5,98.366909847307,119.25152574941,78,107,50.5167929,125.9453074
total_28_8s17m3l,total_count,8,17,3,28,0.285714285714286,0.607142857142857,0.107142857142857,696,24.8571428571429,20,32,heuristic_feasible,3694.23905305996,124.737041865716,1806.27513992803,137,556,0,693,556,0.802308802308802,1,17,11,106.251478819296,124.737041865716,78,107,59.2596777,163.6802368
